fecha_respuesta,usa_nube,plataforma_nube,contenido_nube,nivel_conocimiento,manejo_ciberseguridad,frecuencia_info_seguridad,reconoce_phishing,identifica_herramientas_seguridad,estado_antivirus,tipo_conexion,estabilidad_conexion,frecuencia_fallas_internet,cambio_contrasenas_anual,reutiliza_contrasenas,importancia_actualizar_contrasenas
2025/11/19 10:03:43 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Media,3,Rara vez,Capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,4,A veces,3-5 veces,Rara vez,3.0
2025/11/19 10:04:27 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Media,3,A veces,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,A veces,1-3 veces,A veces,4.0
2025/11/19 10:05:16 p.m.,Sí,Google Drive,Documentos de universidad o trabajo,Muy alta,5,A veces,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, pero están parcialmente actualizadas",Fibra óptica,3,Rara vez,Más de 10 veces,Rara vez,5.0
2025/11/19 10:05:18 p.m.,No,No aplica,No aplica,Media,3,Nunca,Medianamente capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),2,Nunca,0 veces,Nunca,2.0
2025/11/19 10:06:36 p.m.,Sí,Google Drive,Fotos y videos personales,Media,3,Frecuentemente,Medianamente capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,4,A veces,0 veces,Rara vez,4.0
2025/11/19 10:07:04 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Bajo,2,A veces,Medianamente capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Satelital,4,Rara vez,0 veces,Frecuentemente,3.0
2025/11/19 10:07:42 p.m.,Sí,iCloud,Documentos de universidad o trabajo,Alta,5,Nunca,Medianamente capaz,Siempre puedo identificarlo con facilidad,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,A veces,Más de 10 veces,Nunca,3.0
2025/11/19 10:09:00 p.m.,Sí,Google Drive,Fotos y videos personales,Media,3,A veces,Medianamente capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,4,A veces,3-5 veces,Nunca,4.0
2025/11/19 10:09:55 p.m.,Sí,Google Drive,Fotos y videos personales,Media,2,A veces,Poco capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Cable coaxial,3,Frecuentemente,1-3 veces,A veces,4.0
2025/11/19 10:10:25 p.m.,No,No aplica,No aplica,Media,4,A veces,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,2,Frecuentemente,1-3 veces,Nunca,5.0
2025/11/19 10:10:55 p.m.,Sí,iCloud,Fotos y videos personales,Bajo,3,A veces,Poco capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Cable coaxial,5,A veces,1-3 veces,Frecuentemente,2.0
2025/11/19 10:11:11 p.m.,Sí,iCloud,Documentos de universidad o trabajo;Fotos y videos personales,Media,4,A veces,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",No cuento con conexión a internet en mi hogar,5,A veces,0 veces,Rara vez,2.0
2025/11/19 10:11:18 p.m.,No,No aplica,No aplica,Media,3,A veces,Muy capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Internet móvil (datos celulares),4,A veces,0 veces,Frecuentemente,2.0
2025/11/19 10:11:35 p.m.,Sí,Google Drive,Fotos y videos personales,Alta,4,Rara vez,Muy capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,A veces,1-3 veces,A veces,4.0
2025/11/19 10:11:35 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Muy alta,5,Siempre,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,5,A veces,Más de 10 veces,Nunca,5.0
2025/11/19 10:12:14 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Alta,4,A veces,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Cable coaxial,4,Frecuentemente,1-3 veces,A veces,1.0
2025/11/19 10:12:31 p.m.,Sí,Google Drive,Fotos y videos personales,Media,4,Frecuentemente,Medianamente capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Satelital,4,A veces,0 veces,A veces,3.0
2025/11/19 10:14:10 p.m.,Sí,iCloud,Fotos y videos personales,Media,3,Frecuentemente,Capaz,Pocas veces logro identificarlos,"Sí, y están actualizadas",Fibra óptica,4,Rara vez,1-3 veces,Frecuentemente,3.0
2025/11/19 10:15:11 p.m.,Sí,Gmail,Fotos y videos personales,Media,4,Siempre,Poco capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),4,Frecuentemente,6-10 veces,Rara vez,4.0
2025/11/19 10:15:26 p.m.,No,No aplica,No aplica,Media,3,Rara vez,Medianamente capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),4,A veces,1-3 veces,A veces,4.0
2025/11/19 10:17:41 p.m.,Sí,Google Drive,Fotos y videos personales,Muy bajo,2,Nunca,Capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Rara vez,0 veces,Nunca,1.0
2025/11/19 10:20:23 p.m.,No,No aplica,No aplica,Media,3,Nunca,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí uso, pero no están actualizadas",Fibra óptica,4,Rara vez,6-10 veces,Nunca,5.0
2025/11/19 10:20:48 p.m.,No,No aplica,No aplica,Media,3,A veces,Medianamente capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,3,A veces,1-3 veces,A veces,4.0
2025/11/19 10:21:13 p.m.,No,No aplica,No aplica,Bajo,2,Rara vez,Muy capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),3,Muy frecuentemente,6-10 veces,Rara vez,5.0
2025/11/19 10:22:34 p.m.,Sí,Google Drive,Fotos y videos personales;Archivos para compartir con otras personas,Media,3,A veces,Medianamente capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,0 veces,Nunca,3.0
2025/11/19 10:24:12 p.m.,Sí,iCloud,Documentos de universidad o trabajo;Fotos y videos personales,Media,3,Frecuentemente,Capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,Frecuentemente,0 veces,Frecuentemente,4.0
2025/11/19 10:24:17 p.m.,Sí,iCloud,Fotos y videos personales,Media,4,A veces,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,4,Rara vez,1-3 veces,Nunca,3.0
2025/11/19 10:24:19 p.m.,No,No aplica,No aplica,Bajo,3,Rara vez,Poco capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,4,Rara vez,1-3 veces,A veces,4.0
2025/11/19 10:24:33 p.m.,Sí,OneDrive,Fotos y videos personales,Alta,4,A veces,Muy capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Cable coaxial,4,Rara vez,3-5 veces,Rara vez,3.0
2025/11/19 10:24:58 p.m.,No,No aplica,No aplica,Media,3,A veces,Capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,4,Rara vez,1-3 veces,Frecuentemente,
2025/11/19 10:24:59 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Bajo,1,Rara vez,Muy capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Rara vez,0 veces,Nunca,5.0
2025/11/19 10:25:35 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Media,3,A veces,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,5,A veces,1-3 veces,A veces,4.0
2025/11/19 10:25:35 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Media,1,Rara vez,Muy capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),5,Rara vez,0 veces,A veces,4.0
2025/11/19 10:26:47 p.m.,Sí,iCloud,Fotos y videos personales,Media,3,Nunca,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Internet móvil (datos celulares),2,A veces,3-5 veces,Nunca,2.0
2025/11/19 10:28:16 p.m.,Sí,iCloud,Fotos y videos personales,Muy bajo,3,Nunca,Capaz,Generalmente puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),5,Frecuentemente,0 veces,Rara vez,5.0
2025/11/19 10:28:53 p.m.,No,No aplica,No aplica,Media,3,A veces,Medianamente capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,4,Rara vez,3-5 veces,Frecuentemente,3.0
2025/11/19 10:30:21 p.m.,No,No aplica,No aplica,Muy bajo,1,Nunca,Poco capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Fibra óptica,4,Rara vez,0 veces,A veces,3.0
2025/11/19 10:30:54 p.m.,No,No aplica,No aplica,Bajo,3,Nunca,Medianamente capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Cable coaxial,3,Rara vez,0 veces,Nunca,2.0
2025/11/19 10:33:09 p.m.,No,No aplica,No aplica,Alta,3,Rara vez,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Internet móvil (datos celulares),5,Rara vez,3-5 veces,Nunca,3.0
2025/11/19 10:35:00 p.m.,Sí,Google Drive,Fotos y videos personales,Media,4,A veces,Capaz,Pocas veces logro identificarlos,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,Rara vez,0 veces,Frecuentemente,3.0
2025/11/19 10:38:20 p.m.,Sí,Google Drive,Fotos y videos personales,Media,3,Rara vez,Nada capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Cable coaxial,3,Muy frecuentemente,3-5 veces,Siempre,3.0
2025/11/19 10:39:21 p.m.,No,No aplica,No aplica,Media,1,Siempre,Medianamente capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Cable coaxial,2,Nunca,Más de 10 veces,A veces,2.0
2025/11/19 10:40:04 p.m.,Sí,iCloud,Fotos y videos personales,Alta,3,A veces,Muy capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,3,A veces,0 veces,A veces,5.0
2025/11/19 10:40:34 p.m.,Sí,OneDrive,Documentos de universidad o trabajo;Archivos para compartir con otras personas,Media,3,Nunca,Capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Fibra óptica,3,Frecuentemente,0 veces,A veces,2.0
2025/11/19 10:44:05 p.m.,No,No aplica,No aplica,Media,3,A veces,Capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,3,A veces,1-3 veces,A veces,5.0
2025/11/19 10:49:42 p.m.,Sí,Google Drive,Documentos de universidad o trabajo,Alta,3,A veces,Capaz,Siempre puedo identificarlo con facilidad,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),5,Muy frecuentemente,1-3 veces,A veces,5.0
2025/11/19 10:50:48 p.m.,No,No aplica,No aplica,Bajo,3,A veces,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,4,A veces,0 veces,Frecuentemente,2.0
2025/11/19 10:52:41 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Media,3,Frecuentemente,Capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,3,A veces,3-5 veces,Frecuentemente,5.0
2025/11/19 10:53:44 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Muy alta,5,Frecuentemente,Muy capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,1-3 veces,Nunca,4.0
2025/11/19 10:54:40 p.m.,Sí,Google Drive,Fotos y videos personales,Alta,5,Siempre,Muy capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Internet móvil (datos celulares),5,A veces,0 veces,Nunca,1.0
2025/11/19 10:55:18 p.m.,No,No aplica,No aplica,Alta,5,Frecuentemente,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,3,Rara vez,1-3 veces,Nunca,5.0
2025/11/19 11:04:19 p.m.,No,No aplica,No aplica,Media,4,Nunca,Muy capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Cable coaxial,3,Frecuentemente,0 veces,Siempre,1.0
2025/11/19 11:09:05 p.m.,No,No aplica,No aplica,Muy bajo,1,Nunca,Medianamente capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Muy frecuentemente,1-3 veces,A veces,3.0
2025/11/19 11:14:48 p.m.,Sí,OneDrive,Documentos de universidad o trabajo;,Media,4,Frecuentemente,Medianamente capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),4,Rara vez,1-3 veces,Rara vez,3.0
2025/11/19 11:16:35 p.m.,Sí,Google Drive,Fotos y videos personales;Archivos para compartir con otras personas,Alta,4,A veces,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,5,A veces,0 veces,A veces,5.0
2025/11/19 11:19:30 p.m.,Sí,Google Drive,Documentos de universidad o trabajo,Media,3,Nunca,Medianamente capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,5,Rara vez,0 veces,A veces,3.0
2025/11/19 11:28:37 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Archivos para compartir con otras personas,Muy alta,5,Frecuentemente,Muy capaz,Generalmente puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,A veces,1-3 veces,A veces,5.0
2025/11/19 11:30:05 p.m.,No,No aplica,No aplica,Media,3,A veces,Capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,2,Frecuentemente,0 veces,Siempre,2.0
2025/11/20 12:10:11 a.m.,No,No aplica,No aplica,Media,3,Rara vez,Capaz,No sé identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,5,Rara vez,0 veces,Frecuentemente,2.0
2025/11/20 3:32:47 a.m.,Sí,iCloud,Fotos y videos personales,Alta,4,Rara vez,Medianamente capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,2,Rara vez,0 veces,Siempre,1.0
2025/11/20 6:12:51 a.m.,No,No aplica,No aplica,Media,2,A veces,Medianamente capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Internet móvil (datos celulares),4,A veces,0 veces,Rara vez,3.0
2025/11/20 6:55:51 a.m.,Sí,Google Drive,Fotos y videos personales,Alta,5,A veces,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,1-3 veces,A veces,2.0
2025/11/20 7:03:43 a.m.,No,No aplica,No aplica,Media,3,A veces,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Internet móvil (datos celulares),4,Rara vez,0 veces,A veces,1.0
2025/11/20 7:30:16 a.m.,No,No aplica,No aplica,Media,3,Frecuentemente,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Internet móvil (datos celulares),3,Rara vez,0 veces,Nunca,1.0
2025/11/20 7:43:50 a.m.,No,No aplica,No aplica,Media,3,Frecuentemente,Medianamente capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,4,Rara vez,1-3 veces,A veces,3.0
2025/11/20 7:50:13 a.m.,Sí,iCloud,Fotos y videos personales,Alta,4,A veces,Muy capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,4,A veces,1-3 veces,A veces,5.0
2025/11/20 8:15:36 a.m.,Sí,Google Drive,Fotos y videos personales,Alta,4,A veces,Capaz,Siempre puedo identificarlo con facilidad,"Sí, pero están parcialmente actualizadas",Cable coaxial,4,Rara vez,6-10 veces,Rara vez,5.0
2025/11/20 8:18:20 a.m.,Sí,Google Drive,Fotos y videos personales,Alta,4,A veces,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,1-3 veces,A veces,5.0
2025/11/20 8:44:59 a.m.,Sí,Google Drive,Fotos y videos personales,Alta,4,Siempre,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Internet móvil (datos celulares),5,Rara vez,3-5 veces,A veces,4.0
2025/11/20 9:04:11 a.m.,Sí,Google Drive,Documentos de universidad o trabajo,Alta,4,Frecuentemente,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,4,A veces,1-3 veces,Nunca,3.0
2025/11/20 9:07:52 a.m.,Sí,iCloud,Fotos y videos personales;,Bajo,3,A veces,Muy capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),4,A veces,0 veces,Nunca,1.0
2025/11/20 9:40:34 a.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Media,2,A veces,Medianamente capaz,No sé identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,5,A veces,0 veces,A veces,2.0
2025/11/20 9:41:14 a.m.,Sí,Google Drive,Fotos y videos personales,Media,2,Rara vez,Capaz,Pocas veces logro identificarlos,"Sí, pero están parcialmente actualizadas",Fibra óptica,5,Rara vez,0 veces,Nunca,3.0
2025/11/20 10:26:56 a.m.,Sí,Google Drive,Fotos y videos personales,Media,3,A veces,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Cable coaxial,4,A veces,0 veces,Nunca,2.0
2025/11/20 11:07:36 a.m.,No,No aplica,No aplica,Bajo,1,A veces,Medianamente capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Cable coaxial,4,A veces,0 veces,Nunca,5.0
2025/11/20 11:30:04 a.m.,Sí,Google Drive,Fotos y videos personales,Bajo,5,Rara vez,Poco capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),3,Rara vez,0 veces,Rara vez,1.0
2025/11/20 11:30:04 a.m.,Sí,Google Drive,Documentos de universidad o trabajo,Muy bajo,1,A veces,Poco capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,3,Muy frecuentemente,1-3 veces,Rara vez,1.0
2025/11/20 11:35:22 a.m.,Sí,Google Drive,Documentos de universidad o trabajo,Media,3,A veces,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Internet móvil (datos celulares),4,Rara vez,1-3 veces,A veces,3.0
2025/11/20 11:35:46 a.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Alta,5,Siempre,Capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,5,A veces,1-3 veces,A veces,5.0
2025/11/20 11:36:37 a.m.,No,No aplica,No aplica,Media,5,A veces,Capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Fibra óptica,1,Frecuentemente,3-5 veces,Nunca,1.0
