"Marca temporal","1. ¿Acostumbra a guardar sus documentos o fotos en alguna plataforma de nube? 
(Un servicio en internet que permite almacenar y acceder a archivos desde cualquier dispositivo)","2. De las siguientes opciones, ¿cuál es la plataforma que más usa?","3. ¿Qué tipo de contenido guarda con mayor frecuencia en la nube?","4. ¿Qué nivel de conocimiento considera que tiene sobre el concepto de ciberseguridad?  ","5. ¿Qué tan bien crees que manejas tú los temas de ciberseguridad? 
(1 = Nada bien, 5 = Muy bien)","6. ¿Con qué periodicidad te llega información sobre seguridad digital, ya sea que la busques tú (cursos, videos, noticias) o que simplemente recibas consejos? ","7. ¿Qué tan seguro te sientes de poder identificar una estafa en línea o un intento de phishing? (Engaño en internet donde los delincuentes se hacen pasar por una empresa confiable para robar datos personales o bancarios.)","8. ¿Qué tan bien puede identificar si sus herramientas de seguridad (antivirus, etc.) están funcionando en sus dispositivos? ","9. ¿Utiliza antivirus u otras herramientas de seguridad digital en sus dispositivos?","10. ¿Qué tipo de conexión a internet utiliza principalmente en su hogar?","11. ¿Qué tan estable considera su conexión a internet?
(1 = Nada estable, 5 = Muy estable)","12. ¿Con qué frecuencia experimenta fallas o interrupciones en su servicio de internet?","13. ¿Cuántas veces al año cambia sus contraseñas personales, de trabajo e institucionales?","14. ¿Utiliza la misma contraseña para todas sus cuentas?","15. ¿Considera usted que es importante actualizar sus contraseñas anualmente?
(1= No importante, 5 =Muy importante)","","","","","",""
"2025/11/19 9:54:24 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Media","3","Rara vez","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","4","A veces","3-5 veces","A veces","4","","","","","",""
"2025/11/19 9:55:27 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Media","3","Frecuentemente","Medianamente capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","3","A veces","1-3 veces","Rara vez","3","","","","","",""
"2025/11/19 9:55:55 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Muy bajo","1","A veces","Medianamente capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","3","A veces","0 veces","Siempre","3","","","","","",""
"2025/11/19 9:56:35 p.m. GMT-6","No","","","Muy alta","3","A veces","Capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Cable coaxial","1","Muy frecuentemente","Más de 10 veces","Siempre","2","","","","","",""
"2025/11/19 9:56:38 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Fotos y videos personales","Media","3","A veces","Poco capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Satelital (Línea de Abonado Digital Asimétrica)","4","A veces","1-3 veces","Frecuentemente","4","","","","","",""
"2025/11/19 9:56:39 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","3","Rara vez","Capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Rara vez","1-3 veces","Frecuentemente","5","","","","","",""
"2025/11/19 9:56:40 p.m. GMT-6","Sí","iCloud","Fotos y videos personales;","Muy alta","4","Siempre","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","3","A veces","0 veces","A veces","3","","","","","",""
"2025/11/19 9:57:19 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Media","3","A veces","Capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","No estoy segura ","4","A veces","3-5 veces","Frecuentemente","4","","","","","",""
"2025/11/19 9:57:38 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","5","Siempre","Poco capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","5","Rara vez","0 veces","Rara vez","5","","","","","",""
"2025/11/19 9:57:39 p.m. GMT-6","No","","","Media","2","Siempre","Muy capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","4","Rara vez","1-3 veces","A veces","5","","","","","",""
"2025/11/19 9:58:00 p.m. GMT-6","No","","","Alta","5","Rara vez","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","5","Rara vez","1-3 veces","Nunca","4","","","","","",""
"2025/11/19 9:58:55 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Muy alta","3","Siempre","Muy capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","4","Rara vez","1-3 veces","A veces","5","","","","","",""
"2025/11/19 9:58:55 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Alta","4","A veces","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Cable coaxial","5","A veces","0 veces","A veces","3","","","","","",""
"2025/11/19 9:59:08 p.m. GMT-6","No","","","Media","2","Rara vez","Medianamente capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","4","Rara vez","1-3 veces","A veces","4","","","","","",""
"2025/11/19 9:59:13 p.m. GMT-6","No","","","Muy alta","5","Siempre","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","5","A veces","6-10 veces","Rara vez","5","","","","","",""
"2025/11/19 9:59:29 p.m. GMT-6","Sí","iCloud","Documentos de universidad o trabajo","Media","3","A veces","Poco capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","4","A veces","0 veces","Nunca","4","","","","","",""
"2025/11/19 9:59:48 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Muy alta","5","Nunca","Medianamente capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Frecuentemente","6-10 veces","A veces","5","","","","","",""
"2025/11/19 10:00:11 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Bajo","2","Rara vez","Nada capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","1","Rara vez","Más de 10 veces","Rara vez","5","","","","","",""
"2025/11/19 10:00:22 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Muy bajo","3","A veces","Medianamente capaz","Pocas veces logro identificarlos","Sí, y están actualizadas","Rauter","4","Rara vez","6-10 veces","Nunca","3","","","","","",""
"2025/11/19 10:01:20 p.m. GMT-6","No","","","Media","3","Frecuentemente","Medianamente capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","3","A veces","0 veces","Rara vez","4","","","","","",""
"2025/11/19 10:01:55 p.m. GMT-6","No","","","Media","4","Siempre","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Wifi ","4","A veces","3-5 veces","A veces","4","","","","","",""
"2025/11/19 10:02:12 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","2","A veces","Capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","5","A veces","1-3 veces","Nunca","2","","","","","",""
"2025/11/19 10:02:45 p.m. GMT-6","Sí","OneDrive","Fotos y videos personales","Media","3","Nunca","Muy capaz","Pocas veces logro identificarlos","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","4","Rara vez","1-3 veces","Rara vez","3","","","","","",""
"2025/11/19 10:03:43 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Media","3","Rara vez","Capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","4","A veces","3-5 veces","Rara vez","3","","","","","",""
"2025/11/19 10:04:27 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Media","3","A veces","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","4","A veces","1-3 veces","A veces","4","","","","","",""
"2025/11/19 10:05:16 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Muy alta","5","A veces","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, pero están parcialmente actualizadas","Fibra óptica","3","Rara vez","Más de 10 veces","Rara vez","5","","","","","",""
"2025/11/19 10:05:18 p.m. GMT-6","No","","","Media","3","Nunca","Medianamente capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","2","Nunca","0 veces","Nunca","2","","","","","",""
"2025/11/19 10:06:36 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","3","Frecuentemente","Medianamente capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","4","A veces","0 veces","Rara vez","4","","","","","",""
"2025/11/19 10:07:04 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Bajo","2","A veces","Medianamente capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Satelital (Línea de Abonado Digital Asimétrica)","4","Rara vez","0 veces","Frecuentemente","3","","","","","",""
"2025/11/19 10:07:42 p.m. GMT-6","Sí","iCloud","Documentos de universidad o trabajo","Alta","5","Nunca","Medianamente capaz","Siempre puedo identificarlo con facilidad","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","A veces","Más de 10 veces","Nunca","3","","","","","",""
"2025/11/19 10:09:00 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","3","A veces","Medianamente capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","4","A veces","3-5 veces","Nunca","4","","","","","",""
"2025/11/19 10:09:55 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","2","A veces","Poco capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Cable coaxial","3","Frecuentemente","1-3 veces","A veces","4","","","","","",""
"2025/11/19 10:10:25 p.m. GMT-6","No","","","Media","4","A veces","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","2","Frecuentemente","1-3 veces","Nunca","5","","","","","",""
"2025/11/19 10:10:55 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Bajo","3","A veces","Poco capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Cable coaxial","5","A veces","1-3 veces","Frecuentemente","2","","","","","",""
"2025/11/19 10:11:11 p.m. GMT-6","Sí","iCloud","Documentos de universidad o trabajo;Fotos y videos personales","Media","4","A veces","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","No cuento con conexión a internet en mi hogar","5","A veces","0 veces","Rara vez","2","","","","","",""
"2025/11/19 10:11:18 p.m. GMT-6","No","","","Media","3","A veces","Muy capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Internet móvil (datos celulares)","4","A veces","0 veces","Frecuentemente","2","","","","","",""
"2025/11/19 10:11:35 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Alta","4","Rara vez","Muy capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","4","A veces","1-3 veces","A veces","4","","","","","",""
"2025/11/19 10:11:35 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Muy alta","5","Siempre","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","5","A veces","Más de 10 veces","Nunca","5","","","","","",""
"2025/11/19 10:12:14 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Alta","4","A veces","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Cable coaxial","4","Frecuentemente","1-3 veces","A veces","1","","","","","",""
"2025/11/19 10:12:31 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","4","Frecuentemente","Medianamente capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Satelital (Línea de Abonado Digital Asimétrica)","4","A veces","0 veces","A veces","3","","","","","",""
"2025/11/19 10:14:10 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","3","Frecuentemente","Capaz","Pocas veces logro identificarlos","Sí, y están actualizadas","Fibra óptica","4","Rara vez","1-3 veces","Frecuentemente","3","","","","","",""
"2025/11/19 10:15:11 p.m. GMT-6","Sí","Gmail","Fotos y videos personales","Media","4","Siempre","Poco capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","4","Frecuentemente","6-10 veces","Rara vez","4","","","","","",""
"2025/11/19 10:15:26 p.m. GMT-6","No","","","Media","3","Rara vez","Medianamente capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","4","A veces","1-3 veces","A veces","4","","","","","",""
"2025/11/19 10:17:41 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Muy bajo","2","Nunca","Capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Rara vez","0 veces","Nunca","1","","","","","",""
"2025/11/19 10:20:23 p.m. GMT-6","No","","","Media","3","Nunca","Muy capaz","Siempre puedo identificarlo con facilidad","Sí uso, pero no están actualizadas","Fibra óptica","4","Rara vez","6-10 veces","Nunca","5","","","","","",""
"2025/11/19 10:20:48 p.m. GMT-6","No","","","Media","3","A veces","Medianamente capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","3","A veces","1-3 veces","A veces","4","","","","","",""
"2025/11/19 10:21:13 p.m. GMT-6","No","","","Bajo","2","Rara vez","Muy capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","3","Muy frecuentemente","6-10 veces","Rara vez","5","","","","","",""
"2025/11/19 10:22:34 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales;Archivos para compartir con otras personas","Media","3","A veces","Medianamente capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","5","Rara vez","0 veces","Nunca","3","","","","","",""
"2025/11/19 10:24:12 p.m. GMT-6","Sí","iCloud","Documentos de universidad o trabajo;Fotos y videos personales","Media","3","Frecuentemente","Capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","4","Frecuentemente","0 veces","Frecuentemente","4","","","","","",""
"2025/11/19 10:24:17 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","4","A veces","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","4","Rara vez","1-3 veces","Nunca","3","","","","","",""
"2025/11/19 10:24:19 p.m. GMT-6","No","","","Bajo","3","Rara vez","Poco capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","4","Rara vez","1-3 veces","A veces","4","","","","","",""
"2025/11/19 10:24:33 p.m. GMT-6","Sí","OneDrive","Fotos y videos personales","Alta","4","A veces","Muy capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Cable coaxial","4","Rara vez","3-5 veces","Rara vez","3","","","","","",""
"2025/11/19 10:24:58 p.m. GMT-6","No","","","Media","3","A veces","Capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","4","Rara vez","1-3 veces","Frecuentemente","","","","","","",""
"2025/11/19 10:24:59 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Bajo","1","Rara vez","Muy capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Rara vez","0 veces","Nunca","5","","","","","",""
"2025/11/19 10:25:35 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Media","3","A veces","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","Fibra óptica","5","A veces","1-3 veces","A veces","4","","","","","",""
"2025/11/19 10:25:35 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Media","1","Rara vez","Muy capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","5","Rara vez","0 veces","A veces","4","","","","","",""
"2025/11/19 10:26:47 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","3","Nunca","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Internet móvil (datos celulares)","2","A veces","3-5 veces","Nunca","2","","","","","",""
"2025/11/19 10:28:16 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Muy bajo","3","Nunca","Capaz","Generalmente puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","5","Frecuentemente","0 veces","Rara vez","5","","","","","",""
"2025/11/19 10:28:53 p.m. GMT-6","No","","","Media","3","A veces","Medianamente capaz","A veces puedo identificarlo","Sí, y están actualizadas","Fibra óptica","4","Rara vez","3-5 veces","Frecuentemente","3","","","","","",""
"2025/11/19 10:30:21 p.m. GMT-6","No","","","Muy bajo","1","Nunca","Poco capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Fibra óptica","4","Rara vez","0 veces","A veces","3","","","","","",""
"2025/11/19 10:30:54 p.m. GMT-6","No","","","Bajo","3","Nunca","Medianamente capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Cable coaxial","3","Rara vez","0 veces","Nunca","2","","","","","",""
"2025/11/19 10:33:09 p.m. GMT-6","No","","","Alta","3","Rara vez","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Internet móvil (datos celulares)","5","Rara vez","3-5 veces","Nunca","3","","","","","",""
"2025/11/19 10:35:00 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","4","A veces","Capaz","Pocas veces logro identificarlos","Sí, pero están parcialmente actualizadas","Fibra óptica","4","Rara vez","0 veces","Frecuentemente","3","","","","","",""
"2025/11/19 10:38:20 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","3","Rara vez","Nada capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Cable coaxial","3","Muy frecuentemente","3-5 veces","Siempre","3","","","","","",""
"2025/11/19 10:39:21 p.m. GMT-6","No","","","Media","1","Siempre","Medianamente capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Cable coaxial","2","Nunca","Más de 10 veces","A veces","2","","","","","",""
"2025/11/19 10:40:04 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Alta","3","A veces","Muy capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","3","A veces","0 veces","A veces","5","","","","","",""
"2025/11/19 10:40:34 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Archivos para compartir con otras personas","Media","3","Nunca","Capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Fibra óptica","3","Frecuentemente","0 veces","A veces","2","","","","","",""
"2025/11/19 10:44:05 p.m. GMT-6","No","","","Media","3","A veces","Capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","3","A veces","1-3 veces","A veces","5","","","","","",""
"2025/11/19 10:49:42 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Alta","3","A veces","Capaz","Siempre puedo identificarlo con facilidad","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","5","Muy frecuentemente","1-3 veces","A veces","5","","","","","",""
"2025/11/19 10:50:48 p.m. GMT-6","No","","","Bajo","3","A veces","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","Fibra óptica","4","A veces","0 veces","Frecuentemente","2","","","","","",""
"2025/11/19 10:52:41 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Media","3","Frecuentemente","Capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","3","A veces","3-5 veces","Frecuentemente","5","","","","","",""
"2025/11/19 10:53:44 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Muy alta","5","Frecuentemente","Muy capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","5","Rara vez","1-3 veces","Nunca","4","","","","","",""
"2025/11/19 10:54:40 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Alta","5","Siempre","Muy capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Internet móvil (datos celulares)","5","A veces","0 veces","Nunca","1","","","","","",""
"2025/11/19 10:55:18 p.m. GMT-6","No","","","Alta","5","Frecuentemente","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","3","Rara vez","1-3 veces","Nunca","5","","","","","",""
"2025/11/19 11:04:19 p.m. GMT-6","No","","","Media","4","Nunca","Muy capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Cable coaxial","3","Frecuentemente","0 veces","Siempre","1","","","","","",""
"2025/11/19 11:09:05 p.m. GMT-6","No","","","Muy bajo","1","Nunca","Medianamente capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Muy frecuentemente","1-3 veces","A veces","3","","","","","",""
"2025/11/19 11:14:48 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;","Media","4","Frecuentemente","Medianamente capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","4","Rara vez","1-3 veces","Rara vez","3","","","","","",""
"2025/11/19 11:16:35 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales;Archivos para compartir con otras personas","Alta","4","A veces","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","5","A veces","0 veces","A veces","5","","","","","",""
"2025/11/19 11:19:30 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Media","3","Nunca","Medianamente capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","5","Rara vez","0 veces","A veces","3","","","","","",""
"2025/11/19 11:28:37 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Archivos para compartir con otras personas","Muy alta","5","Frecuentemente","Muy capaz","Generalmente puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","A veces","1-3 veces","A veces","5","","","","","",""
"2025/11/19 11:30:05 p.m. GMT-6","No","","","Media","3","A veces","Capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","2","Frecuentemente","0 veces","Siempre","2","","","","","",""
"2025/11/20 12:10:11 a.m. GMT-6","No","","","Media","3","Rara vez","Capaz","No sé identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","5","Rara vez","0 veces","Frecuentemente","2","","","","","",""
"2025/11/20 3:32:47 a.m. GMT-6","Sí","iCloud","Fotos y videos personales","Alta","4","Rara vez","Medianamente capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","2","Rara vez","0 veces","Siempre","1","","","","","",""
"2025/11/20 6:12:51 a.m. GMT-6","No","","","Media","2","A veces","Medianamente capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Internet móvil (datos celulares)","4","A veces","0 veces","Rara vez","3","","","","","",""
"2025/11/20 6:55:51 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Alta","5","A veces","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","Fibra óptica","5","Rara vez","1-3 veces","A veces","2","","","","","",""
